,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
114040,ALL OTHER SUPPLEMENTS,NaN,NaN,TEACHER ASSISTANT-TITLE I-ELEM,NaN,NaN,School,NaN,BASIC (FEFP K-12),NaN,NaN,6.77E+02,NaN,NaN,GENERAL FUND,TEACHER ASST EDUC SUPPLEMENT
114140,SALARIES OF REGULAR EMPLOYEES,GIFTED AND TALENTED,GENERAL FUND,"Teacher, Itinerant",NaN,NaN,GIFTED AND TALENTED,0.502733,STATE - GIFTED AND TALENTED,PROFESSIONAL-INSTRUCTIONAL,NaN,3.51E+04,GIFTED AND TALENTED,n/a,NaN,REGULAR INSTRUCTION
114463,Education Service Center Services,Gifted And Talented,NaN,NaN,Gifted And Talented,ESC (Fee),Unallocated,NaN,Instructional Leadership,NaN,NaN,2.65E+02,NaN,NaN,General Operating Fund,NaN
114656,Professional Salaries,Undistributed,NaN,TECH CURR SPEC,NaN,General,Network Support,1,Data Processing Services,NaN,NaN,8.71E+04,NaN,NaN,General Fund,NaN
114917,Professional Salaries,Basic Educational Services,NaN,T-HS HISTORY,NaN,General,School,0.5,Instruction,NaN,NaN,3.13E+04,NaN,NaN,General Fund,NaN
116208,Salaries for Support Personnel,Undistributed,NaN,SECURITY GUARD,NaN,General,School,1,Security & Monitoring Servicess,NaN,NaN,2.87E+04,NaN,NaN,General Fund,NaN
117855,SUPPLIES,Misc,SCHOOL NUTRITION SERVICE,NaN,NaN,NaN,NaN,NaN,SCHOOL NUTRITION,NaN,NaN,2.25E+03,NaN,NaN,School Nutrition Service Fund,NaN
119391,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,Office of Innovation and Development,NaN,General Administration,NaN,NaN,8.19E+03,NaN,NaN,General Fund,NaN
119893,Copier Rental,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instruction,NaN,NaN,1.00E+04,NaN,NaN,General Fund,NaN
122394,WORKSHOP PARTICIPANT,COMMON CORE STATE STANDARDS,NaN,ASSISTANT PRINCIPAL II-HIGH,USING DATA HUMAN CAPITAL DECIS,NaN,CHIEF ACADEMIC OFFICER,NaN,STAFF SERVICES,NaN,NaN,5.18E+02,NaN,NaN,ARRA - RACE TO THE TOP,RACE TO THE TOP
122975,NaN,SPECIAL EDUCATION CATEGORY V,NaN,Occupational Therapist,NaN,NaN,NaN,0.5,NaN,OCCUPATIONAL THERAPIST,NaN,2.23E+04,NaN,NaN,General Fund,NaN
124409,NaN,Undistributed,NaN,NaN,NaN,General,Assoc Superintendent-Area  Elementary,NaN,Instructional Leadership,NaN,NaN,1.76E+03,NaN,NaN,General Fund,NaN
127481,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher,Retrd Shrt Term Sub",NaN,NaN,NaN,NaN,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,NaN,1.93E+01,TEACHER SUBS,Regular,NaN,REGULAR INSTRUCTION
127931,SALARIES OF PART TIME EMPLOYEE,EARLY CHILDHOOD,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education,NaN,NaN,NaN,0.205546,TUITION BASED - ECE,PARAPROFESSIONAL,NaN,3.26E+03,NaN,Regular,NaN,REGULAR INSTRUCTION
128058,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP V,NaN,General,School,0.875,Food Services,NaN,NaN,2.59E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
128764,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"ASST COACH,NVFB",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,2.49E+03,NaN,NaN,Athletics,NaN
128986,Food/Refreshment,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,1.50E+03,NaN,NaN,General Fund,NaN
129121,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP II,NaN,General,School,0.5,Food Services,NaN,NaN,1.28E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
130069,Salaries And Wages For Teachers And Other Professi,"""Title I, Part A Schoolwide Activities Related To State Comp",State Ed. Allotment,AT RISK LITERACY TEACHER (LIBRARIAN),All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School,1,Instruction,LITERACY SPECIALIST,NaN,5.36E+04,NaN,NaN,General Operating Fund,REGULAR PAY
130113,Part-Time Hourly,Special Education,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,8.10E-01,NaN,NaN,General Fund,NaN
130696,Salaries Or Wages For Support Personnel,Undistributed,Operations,"TEMPORARY,FINANCE DEPT.",Textbook Department,Temporary / Part-Time Support Personnel,Unallocated,0,Facilities Maintenance And Operations,COLLEGE STUDENT,NaN,9.39E+02,NaN,NaN,General Operating Fund,REGULAR PAY
130885,BOOKS (OTHER THAN TEXTBOOKS) AND PERIODICALS,MEDIA CENTERS,MEDIA CENTERS,NaN,NaN,NaN,NaN,NaN,EDUCATIONAL MEDIA SERVICE,NaN,NaN,1.15E+02,NaN,NaN,General Fund,NaN
132260,EQUIPMENT *,NaN,Operation And Maintenance Of Plant Services,NaN,NaN,Equipment *,NaN,NaN,Care And Upkeep Of Equipment And Furniture Services,NaN,NaN,3.33E+03,NaN,NaN,Special Trust,BP AMER/TRW SCH OF SCIENC
132572,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Super Sub Rtd D/D",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-1.14E+01,NaN,n/a,NaN,EMPLOYEE BENEFITS
133882,GENERAL SUPPLIES,OTHER GENERAL EDUCATION,DISTRICT SPECIAL REVENUE FUNDS,(blank),NaN,NaN,NaN,NaN,DELL COMPUTERS,UNDESIGNATED,NaN,6.73E+02,NaN,n/a,NaN,OTHER EDUCATION
134185,NaN,NURSES,NaN,Clinic Assistant,NaN,NaN,NaN,1,NaN,CLINIC ASSISTANT,NaN,3.29E+04,NaN,NaN,General Fund,NaN
134419,OTHER PERSONAL SERVICES,NaN,NaN,SUB TEACHER ALL,NaN,NaN,School,0,VOCATIONAL (K-12),NaN,NaN,7.54E+01,NaN,NaN,GENERAL FUND,NaN
134827,Employee Allowance,Accelerated Education,NaN,CELL PHONE,NaN,Mobile Phone,School,NaN,Social Work Services,NaN,NaN,3.93E+02,NaN,NaN,General Fund,NaN
136056,EMPLOYEE BENEFITS,SPECIAL EDUCATION-HD ELEM,GENERAL FUND,"Teacher,Spec Ed Center Prg",NaN,NaN,NaN,NaN,SPECIAL ED. - SEVERE NEEDS,PROFESSIONAL-INSTRUCTIONAL,NaN,5.95E+02,SEVERE DISABILITIES,Regular,NaN,SPECIAL EDUCATION
137287,SALARIES FOR OVERTIME,COMMUNITY SERVICE,DISTRICT SPECIAL REVENUE FUNDS,Custodian - PT -  Jobs,NaN,NaN,COMMUNITY USE OF FACILITIES,NaN,COMMUNITY USE OF BUILDINGS,"CRAFTS, TRADES, AND SERVICES",NaN,4.23E+01,FACILITY SERVICES,n/a,NaN,COMMUNITY SERVICES OPERATION
139556,Salaries for Support Personnel,Undistributed,NaN,ADMIN ASST II,NaN,General,School,1,School Leadership,NaN,NaN,4.21E+04,NaN,NaN,General Fund,NaN
139984,SALARIES OF REGULAR EMPLOYEES,GENERAL K-8 EDUCATION,GENERAL FUND,"Teacher, Intervention",NaN,NaN,NaN,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,2.19E+02,NaN,Regular,NaN,REGULAR INSTRUCTION
140796,NaN,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instructional Resource & Media Services,NaN,NaN,5.00E+02,NaN,NaN,General Fund,NaN
141719,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,School,NaN,School Leadership,NaN,NaN,7.33E+02,NaN,NaN,General Fund,NaN
142072,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,School,NaN,School Leadership,NaN,NaN,4.16E+02,NaN,NaN,General Fund,NaN
144993,EMPLOYER PD MED CONTRIBUTION,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,Tutor Paraprofessional,NaN,NaN,NaN,NaN,NON-PROJECT,PARAPROFESSIONAL,NaN,2.94E+02,NaN,Regular,NaN,REGULAR INSTRUCTION
144997,Personal Services - Health Services,Principal's Office,NaN,NURSE (SCHOOL),HEALTH SERVICES,NaN,District Wide Resources,1,NaN,SCHOOL NURSE,Health Services,5.51E+04,NaN,NaN,General Purpose School,NaN
145015,Part-Time Hourly,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,3.73E+04,NaN,NaN,Title I- Part A,NaN
145527,SALARIES FOR OVERTIME,GENERAL HIGH SCHOOL EDUCATION,MILL LEVY,"Secretary, Executive II",NaN,NaN,INTERDISCIPLINARY,NaN,COLLEGE READINESS,OFFICE/ADMINISTRATIVE SUPPORT,NaN,5.09E+02,COLLEGE READY,n/a,NaN,REGULAR INSTRUCTION
146424,Professional Salaries,Undistributed,NaN,"ASSOC SUP, PK-8",NaN,General,Assoc Superintendent-Area  Elementary,1,Instructional Leadership,NaN,NaN,1.70E+05,NaN,NaN,General Fund,NaN
146681,Professional Salaries,Undistributed,NaN,LIBRARIAN- ELEM,NaN,General,School,1,Instructional Resource & Media Services,NaN,NaN,5.45E+04,NaN,NaN,General Fund,NaN
148146,Miscellaneous Operating Costs,Accelerated Education,NaN,NaN,Instruction And Curriculum,Fees (Not Associated With Travel),School,NaN,Curriculum Development And Instructional Staff Dev,NaN,Creating Qualified Teachers,5.99E+02,TRAVEL,NaN,Esea Title Ii Part A Teacher & Principal Training,NaN
148219,Regular *,NaN,Support Services - Administration,FLEXIBLE CONTENT EXPERT,NaN,NaN,CHIEF ACADEMIC OFFICER,1,Education Services*,NaN,NaN,8.41E+04,ADM/PROF,NaN,Alternative Schools,ALT
149414,TRAVEL - EMPLOYEES,Misc,MISCELLANEOUS,NaN,NaN,NaN,ADMIN. SERVICES,NaN,IMPROVEMENT OF INSTR SERV,NaN,NaN,1.75E+02,NaN,NaN,General Fund,NaN
150039,Professional Salaries,Undistributed,NaN,LIBRARIAN- CENT,NaN,General,Library Media Center,1,Instructional Resource & Media Services,NaN,NaN,8.93E+04,NaN,NaN,General Fund,NaN
153018,Salaries for Support Personnel,Undistributed,NaN,WEB MANAGER,NaN,General,Office of Planning and Community Relations,1,General Administration,NaN,NaN,6.69E+04,NaN,NaN,General Fund,NaN
154149,Professional Salaries,Accelerated Education,NaN,COUNS- ELEM,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,5.84E+04,NaN,NaN,General Fund,NaN
155106,Professional Salaries,Special Education,NaN,PHYS THERAPIST,NaN,Occupation Therapist,Special Education AH/VH,1,Instruction,NaN,NaN,5.91E+04,NaN,NaN,General Fund,NaN
157119,NaN,Misc,NaN,School Resource Officer,NaN,NaN,NaN,1,NaN,RESOURCE OFFICER (NO SUB REQD),NaN,3.13E+04,NaN,NaN,General Fund,NaN
157142,Career Ladder,Basic Educational Services,NaN,CL,NaN,General,School,NaN,Instruction,NaN,NaN,3.28E+03,NaN,NaN,General Fund,NaN
158185,Salaries for Support Personnel,Undistributed,NaN,ACCTG CLERK IV,NaN,General,Insurance and Risk Management,1,General Administration,NaN,NaN,4.85E+04,NaN,NaN,Workers Comp Self Insurance,NaN
158448,Food,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,1.18E+05,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
158485,GENERAL SUPPLIES,GENERAL ELEMENTARY EDUCATION,MILL LEVY,(blank),NaN,NaN,NaN,NaN,ARTS ED,UNDESIGNATED,NaN,1.13E+03,NaN,Regular,NaN,REGULAR INSTRUCTION
159687,Professional Salaries,Undistributed,NaN,ACADEMY DIRECTO,NaN,General,School,1,School Leadership,NaN,NaN,9.52E+04,NaN,NaN,General Fund,NaN
160273,Extra Duty Pay/Overtime For Support Personnel,Undistributed,Operations,CUSTODIAN REGULAR,Custodial Department,Extra Duty Pay/Overtime For Support Personnel,School,NaN,Facilities Maintenance And Operations,REG FOOD SERVICE WORKER,NaN,4.52E+02,NaN,NaN,General Operating Fund,ADDL REGULAR PAY-NOT SMOOTHED
161673,Salaries And Wages For Teachers And Other Professi,Undistributed,Operations,SCHOOL PRINCIPAL,All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School,1,School Leadership,PRINCIPAL,Undistributed,7.58E+04,NaN,NaN,General Operating Fund,REGULAR PAY
162170,Miscellaneous Operating Costs,Undistributed,NaN,NaN,NaN,Food - Inservice,School,NaN,School Leadership,NaN,NaN,1.22E+02,NaN,NaN,Campus Activity Funds,NaN
162256,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,Office of Innovation and Development,NaN,General Administration,NaN,NaN,7.88E+02,NaN,NaN,General Fund,NaN
162885,Consulting Services,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instruction,NaN,NaN,2.00E+04,NaN,NaN,General Fund,NaN
163074,TEACHER COVERAGE FOR TEACHER,GENERAL MIDDLE/JUNIOR HIGH SCH,GENERAL FUND,"Student Advisor, Midd Sch",NaN,NaN,NaN,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,6.64E+01,TEACHER SUBS,Regular,NaN,REGULAR INSTRUCTION
163298,Professional Salaries,Special Education,NaN,LSSP,NaN,General,Special Ed Evaluation Services,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,5.87E+04,NaN,NaN,IDEA-B Formula,NaN
163399,Substitute for Other Professionals,Undistributed,NaN,NaN,NaN,General,Special Ed Evaluation Services,NaN,"Guidance, Counseling and Evaluation Services",NaN,NaN,4.10E-01,NaN,NaN,General Fund,NaN
163976,Personal Services - Security,Operations,NaN,NaN,SECURITY,NaN,District Wide Resources,0,NaN,TIME CARD CLASSIFIED Addl,Security,6.25E+02,NaN,NaN,General Purpose School,NaN
164219,Salaries for Support Personnel,Special Education,NaN,BUS DRIVER,NaN,General,Transportation Office,1,Student Transportation,NaN,NaN,3.26E+04,NaN,NaN,General Fund,NaN
166470,SALARIES OF REGULAR EMPLOYEES,SPECIAL EDUCATION-S/L-MAST,FEDERAL GDPG FUND - FY,Speech Language Pathologst,NaN,NaN,SPECIAL EDUCATION,0.198253,TITLE VI-IDEA B-MAIN,PROFESSIONAL-INSTRUCTIONAL,NaN,1.41E+04,NaN,n/a,NaN,SPECIAL EDUCATION
167102,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Principal, Elementary",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-1.41E+03,NaN,n/a,NaN,EMPLOYEE BENEFITS
167411,SALARIES OF REGULAR EMPLOYEES,GENERAL K-8 EDUCATION,FEDERAL GDPG FUND - FY,"Teacher, Elementary",NaN,NaN,NaN,NaN,TITLE I,PROFESSIONAL-INSTRUCTIONAL,NaN,2.63E+03,NaN,Regular,NaN,REGULAR INSTRUCTION
168219,Miscellaneous Contracted Services,Undistributed,NaN,NaN,NaN,Miscellaneous Contracted Services,School,NaN,Instructional Resources And Media Services,NaN,NaN,4.31E+03,NaN,NaN,Campus Activity Funds,NaN
169063,NaN,NURSES,NaN,Clinic Assistant,NaN,NaN,NaN,0.49,NaN,CLINIC ASSISTANT,NaN,1.54E+03,NaN,NaN,General Fund,NaN
171564,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Super Sub D/D",NaN,NaN,NaN,0.00431,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,NaN,1.66E+02,TEACHER SUBS,Regular,NaN,REGULAR INSTRUCTION
171644,"Water,Wastewater, Sanitation",Undistributed,NaN,NaN,NaN,General,School,NaN,Plant Maintenance & Operations,NaN,NaN,1.19E+05,NaN,NaN,General Fund,NaN
172606,SUPPLIES,MIDDLE SCHOOL PROGRAM  6-8,MIDDLE SCHOOL PROGRAM 6-8,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,6.19E+01,NaN,NaN,General Fund,NaN
172894,Equipment Maintenance Repairs,Basic Educational Services,NaN,NaN,NaN,Orchestra,School,NaN,Instruction,NaN,NaN,2.42E+03,NaN,NaN,General Fund,NaN
173685,Salaries And Wages For Teachers And Other Professi,Undistributed,Operations,"COUNSELOR, REGULAR",All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School,0.65,"""Guidance, Counseling And Evaluation Services""",COUNSELOR MIDDLE SCHOOL,Undistributed,5.11E+04,NaN,NaN,General Operating Fund,REGULAR PAY
173894,EMPLOYEE BENEFITS,SPECIAL ED-S/L-CHILD FIND,GENERAL FUND,Speech Language Pathologst,NaN,NaN,SPECIAL EDUCATION,NaN,SPECIAL EDUCATION - ITINERANT,PROFESSIONAL-INSTRUCTIONAL,NaN,1.06E+03,SPEECH & LANGUAGE,n/a,NaN,SPECIAL EDUCATION
174566,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"FR COACH, VOLLY",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,3.36E+03,NaN,NaN,Athletics,NaN
176221,GENERAL SUPPLIES,ITEMGB - TRADE AND INDUSTRIAL ED,ITEMGB - STATE GDPG FUND,(blank),NaN,NaN,OPPORTUNITY SCHOOL,NaN,NON-PROJECT,UNDESIGNATED,NaN,2.10E+04,ADULT VOC ED OPPORTUNITY,Alternative,NaN,EDUCATION FOR ADULTS
177280,TRAVEL - EMPLOYEES,Misc,SCHOOL-WIDE SCHOOL PGMS FOR TITLE GRANTS,NaN,NaN,NaN,NaN,NaN,IMPROVEMENT OF INSTR SERV,NaN,NaN,2.62E+01,NaN,NaN,Schoolwide Schools,NaN
177544,Professional Salaries,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,-3.20E-01,NaN,NaN,Title I- Part A,NaN
178280,Food,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,7.00E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
178340,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Health Technician,NaN,NaN,SCHOOL NURSE SERVICES,NaN,NON-PROJECT,UNDESIGNATED,NaN,-1.80E+00,NaN,n/a,NaN,EMPLOYEE BENEFITS
178862,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP V,NaN,General,School,0.875,Food Services,NaN,NaN,2.41E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
182387,WORKERS' COMPENSATION,NaN,NaN,NaN,NaN,NaN,School,NaN,INST STAFF TRAINING SVCS,NaN,NaN,1.20E-01,NaN,NaN,GENERAL FUND,TEACHER TRAINING
182418,Professional Salaries,Special Education,NaN,OCCUP THER,NaN,Occupation Therapist,Special Education AH/VH,0.8,Instruction,NaN,NaN,5.36E+04,NaN,NaN,IDEA-B Formula,NaN
182884,Employee Allowance,Special Education,NaN,TRAVEL,NaN,General,Special Education,NaN,Community Services,NaN,NaN,2.87E+03,NaN,NaN,General Fund,NaN
183188,Salaries And Wages For Teachers And Other Professi,Services To Students With Disabilities (Special Education),Idea Part B Formula,SPECIAL EDUC. PROGRM DIRECTOR,Instruction And Curriculum,Extra Duty Wages,Summer School,NaN,Instructional Leadership,PROGRAM DIRECTOR,Extra Duty Salary,1.46E+02,NaN,NaN,Idea Part B Formula,EXTENDED YEAR
184100,Salaries And Wages For Teachers And Other Professi,Undistributed,Operations,PUBLIC INFORMATION,Public Relations Department,Salaries And Wages For Teachers And Other Professi,Administration - No Description Provided,1,General Administration,GRAPHIC DESIGNER,NaN,5.69E+04,NaN,NaN,General Operating Fund,REGULAR PAY
184551,Travel And Subsistence - Employee Only,Undistributed,NaN,NaN,NaN,Travel And Subsistence - Employee Only,School,NaN,Curriculum Development And Instructional Staff Dev,NaN,Undistributed,1.64E+03,NaN,NaN,General Operating Fund,NaN
185079,Extra Duty Pay/Overtime For Support Personnel,Undistributed,Operations,"TRANSPORTATION, AIDE,SPEC.ED",Transportation Department,Extra Duty Pay/Overtime For Support Personnel,Unallocated,NaN,Transportation,BUS DRIVER AIDE,transportation - Second Runs,4.48E+02,NaN,NaN,General Operating Fund,EXTRA RUN
185934,NaN,Basic Educational Services,NaN,NaN,NaN,Theatre Arts,School,NaN,Instruction,NaN,NaN,-3.90E-01,NaN,NaN,General Fund,NaN
186741,EMPLOYEE BENEFITS,SPECIAL EDUCATION-OT,GENERAL FUND,Occupational Therapist,NaN,NaN,SPECIAL EDUCATION,NaN,SPECIAL EDUCATION - ITINERANT,PROFESSIONAL-INSTRUCTIONAL,NaN,5.49E+02,SPEECH & LANGUAGE,n/a,NaN,SPECIAL EDUCATION
188957,EMPLOYER PD MED CONTRIBUTION,SECURITY SERVICES,GENERAL FUND,Security Patrol,NaN,NaN,SAFETY AND SECURITY,NaN,SAFETY & SECURITY,PROFESSIONAL-OTHER,NaN,5.04E+02,NaN,n/a,NaN,OPERATION AND MAINT OF PLANT
191113,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,Cable TV,NaN,Instructional Resource & Media Services,NaN,NaN,1.26E+03,NaN,NaN,General Fund,NaN
191703,Electricity,Undistributed,NaN,NaN,NaN,General,School,NaN,Plant Maintenance & Operations,NaN,NaN,9.43E+04,NaN,NaN,General Fund,NaN
192455,Extra Duty/Overtime,Accelerated Education,NaN,NaN,NaN,Cycle  (used for grants),School,NaN,Plant Maintenance & Operations,NaN,NaN,1.38E+03,NaN,NaN,Century Community Learning,NaN
194281,Professional Services,Accelerated Education,NaN,NaN,NaN,In Dist Charter College Prep,School 6-12,NaN,Instruction,NaN,NaN,1.08E+06,NaN,NaN,General Fund,NaN
195468,NaN,NaN,LOCAL,SPEECH PATHOLOGIST,NaN,NaN,RELATED SERVICES,1,NaN,NaN,NaN,1.02E+05,SPECIAL EDUCATION INSTRUCTION,NaN,NaN,NaN
196894,Professional Salaries,Undistributed,NaN,ELEM PRINCIPAL,NaN,General,School,1,School Leadership,NaN,NaN,1.00E+05,NaN,NaN,General Fund,NaN
197489,Professional Salaries,Undistributed,NaN,COUNS- HS,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,6.11E+04,NaN,NaN,General Fund,NaN
197853,Extra Duty/Overtime,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Community Services,NaN,NaN,7.17E+02,NaN,NaN,Title I- Part A,NaN
198286,Professional Salaries,Undistributed,NaN,HS PRINCIPAL,NaN,General,School,1,School Leadership,NaN,NaN,1.30E+05,NaN,NaN,General Fund,NaN
198656,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,School,NaN,School Leadership,NaN,NaN,4.15E+02,NaN,NaN,General Fund,NaN
198690,Salaries for Support Personnel,Accelerated Education,NaN,H/R TECH II,NaN,General,Human Resources,0.75,General Administration,NaN,NaN,3.11E+04,NaN,NaN,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",NaN
199027,Professional Salaries,Undistributed,NaN,ELEM ASST PRIN,NaN,Line Item that is paid with Campus' money,School,0.03,School Leadership,NaN,NaN,2.01E+03,NaN,NaN,General Fund,NaN
199128,Personal Services - Teachers,Instruction - Regular,NaN,TCHER SCIENCE (SECONDARY),NaN,NaN,NaN,1,NaN,TEACHER,Alternative Schools Instruction,5.91E+04,NaN,NaN,General Purpose School,NaN
199573,Dues,Undistributed,NaN,NaN,Research And Evaluation,Dues,Undistributed,NaN,"""Guidance, Counseling And Evaluation Services""",NaN,Undistributed,3.26E+02,NaN,NaN,General Operating Fund,NaN
199594,Salaries for Support Personnel,Undistributed,NaN,CUSTODIAN I,NaN,General,School,1,Plant Maintenance & Operations,NaN,NaN,3.18E+04,NaN,NaN,General Fund,NaN
200091,Substitute Teachers,Undistributed,NaN,NaN,NaN,Community Training and Assistance Center,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,3.27E+02,NaN,NaN,General Fund,NaN
201408,Professional Salaries,Undistributed,NaN,COUNS- HS,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,6.11E+04,NaN,NaN,General Fund,NaN
201614,Personal Services - Teachers,Instruction - Regular,NaN,NaN,NaN,NaN,District Wide Resources,0,NaN,TIME CARD CERTIFIEDAddl,Alternative Schools Instruction,1.63E+03,NaN,NaN,General Purpose School,NaN
201806,SUPPLIES,MEDIA CENTERS,MEDIA CENTERS,NaN,NaN,NaN,NaN,NaN,EDUCATIONAL MEDIA SERVICE,NaN,NaN,7.51E+01,NaN,NaN,General Fund,NaN
203755,Personal Services - Teachers,Instruction - Regular,NaN,NaN,NaN,NaN,NaN,0,NaN,CCOACH CERT TCHRACCT,Regular Instruction,8.36E+03,NaN,NaN,General Purpose School,NaN
204082,Overtime *,NaN,Support Services--Pupils,NaN,NaN,Non-Certificated Salaries And Wages,NaN,NaN,Direction Of Support Services - Pupils *,NaN,NaN,-2.32E+03,NaN,NaN,Special Trust,NaN
205012,SALARIES OF REGULAR EMPLOYEES,LITERACY COACHES,LEVY OVERRIDE,"Facilitator,Sec Humanities",NaN,NaN,NaN,NaN,FACILITATOR,PROFESSIONAL-INSTRUCTIONAL,NaN,2.59E+03,NaN,Turnaround,NaN,INSTRUCTIONAL STAFF
206886,EMPLOYER PD MED CONTRIBUTION,IMPROVEMENT OF INSTRUCTION,FEDERAL GDPG FUND - FY,"Coordinator, Central Curr",NaN,NaN,MATH / SCIENCE,NaN,TITLE II-PART A-TEACHER QUALIT,PROFESSIONAL-OTHER,NaN,NaN,MATH/SCIENCE,n/a,NaN,INSTRUCTIONAL STAFF
207657,NaN,Misc,NaN,School Resource Officer,NaN,NaN,NaN,1,NaN,RESOURCE OFFICER (NO SUB REQD),NaN,5.93E+04,NaN,NaN,General Fund,NaN
210361,General Supplies,Basic Educational Services,NaN,NaN,NaN,Theatre Arts,School,NaN,Instruction,NaN,NaN,1.01E+04,NaN,NaN,General Fund,NaN
210748,General Supplies,Undistributed,NaN,NaN,Legal Department / Board,Capital Supplies ( Unit Cost  and >,Legal Department - Tax Collection Division,NaN,General Administration,NaN,NaN,2.86E+01,NaN,NaN,General Operating Fund,NaN
212033,General Supplies,Basic Educational Services,NaN,NaN,NaN,Social Studies,School,NaN,Instruction,NaN,NaN,2.49E+02,NaN,NaN,General Fund,NaN
212196,Salaries Or Wages For Support Personnel,PRE-K,Operations,"CLASSROOM AIDE,PRE-K BILINGUAL",All Campus Payroll,Salaries Or Wages For Support Personnel,School,0.76,Instruction,AIDE,NaN,1.04E+04,NaN,NaN,General Operating Fund,REGULAR PAY
